Keyword Stats 2025-01-27 at 12_05_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2023 - December 31, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024
unv camera,AED,2900,-56%,132%,High,85,0.76,16.02,< 1%,,,Y,,1900,1900,2400,2400,1900,2400,2400,2400,1900,1900,1900,1900,1900,1900,2400,1900,1900,1600,5400,2400,2400,9900,3600,4400
uniview camera,AED,260,-19%,0%,Low,29,0.71,23.54,,,,Y,,320,320,320,260,260,210,260,320,320,260,260,260,260,260,260,260,260,260,320,320,260,320,260,260
unv cctv,AED,720,-58%,39%,Medium,44,0.74,19.83,,,,Y,,720,720,880,590,590,590,720,720,720,720,590,720,720,590,720,720,590,480,1000,590,590,2400,880,1000
uniview nvr,AED,30,50%,-40%,Low,20,,,,,,,,30,40,30,30,20,30,30,30,30,40,50,50,40,40,40,30,40,40,20,30,40,20,30,30
cctv camera price dubai,AED,30,50%,50%,Medium,52,27.86,123.27,10%,,,,,20,40,20,20,40,50,40,30,40,30,20,20,50,30,30,30,30,20,20,30,20,20,30,30
unv nvr,AED,210,0%,-19%,Low,21,0.67,15.17,,,,,,140,170,170,170,170,170,210,170,170,210,210,260,210,210,210,170,210,170,170,210,170,210,210,210
unv security cameras,AED,720,-58%,39%,Medium,44,0.74,19.83,,,,,,720,720,880,590,590,590,720,720,720,720,590,720,720,590,720,720,590,480,1000,590,590,2400,880,1000
unv ip camera,AED,590,-18%,0%,High,89,0.68,2.01,,,,,,390,480,590,480,590,590,720,720,720,590,590,720,720,590,720,720,590,590,880,720,590,880,590,720
cctv dubai,AED,90,0%,-22%,Low,9,24.88,249.49,,,,,,110,90,90,110,90,90,90,70,210,90,70,90,170,110,40,70,70,70,140,70,70,70,30,70
uniview cctv,AED,70,-43%,-20%,Low,17,0.78,2.01,,,,,,90,70,90,50,70,50,50,70,70,70,50,50,70,90,70,50,70,50,40,50,40,70,40,40
unv camera price,AED,480,-45%,126%,High,96,0.68,13.78,< 1%,,,,,480,480,590,480,390,390,480,480,480,390,390,390,320,320,390,480,320,260,1000,390,390,1600,720,880
uniview security cameras,AED,10,0%,0%,Low,26,,,,,,,,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10
uniview ip camera,AED,30,50%,50%,Medium,48,,,,,,,,20,40,20,30,40,30,10,40,50,40,20,20,30,40,30,10,50,20,20,20,20,20,30,30
uniview distributors,AED,10,0%,0%,Low,2,,,,,,,,10,20,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
cctv camera dubai,AED,70,0%,0%,Medium,48,23.74,234.7,8%,,,,,70,90,50,40,70,50,70,40,40,70,70,50,50,90,50,90,70,90,70,50,50,50,40,50
uniview camera price,AED,40,0%,-40%,Low,20,,,,,,,,70,40,70,30,40,40,70,50,90,50,40,50,40,50,40,30,20,20,20,20,20,30,30,30
unv cctv camera,AED,260,-70%,53%,High,88,0.7,19.71,,,,,,260,210,320,320,320,320,320,170,170,170,110,170,170,210,260,320,320,210,590,320,170,880,210,260
uniview cameras for sale,AED,10,0%,0%,Unknown,,,,,,,,,0,10,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
cctv suppliers in uae,AED,10,∞,0%,Low,0,,,,,,,,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10
cctv camera price in uae,AED,30,50%,50%,Medium,52,27.86,123.27,10%,,,,,20,40,20,20,40,50,40,30,40,30,20,20,50,30,30,30,30,20,20,30,20,20,30,30
uniview technologies,AED,140,0%,0%,Low,1,,,,,,,,110,110,110,90,90,110,110,110,140,110,140,110,210,320,260,170,140,140,90,140,170,110,90,110
cctv camera abu dhabi,AED,10,-50%,0%,Low,1,,,,,,,,10,10,0,0,10,10,10,10,10,20,10,10,20,20,30,10,10,10,10,10,10,20,10,10
cctv suppliers in dubai,AED,30,-86%,-33%,Low,26,42.48,93.9,5%,,,,,20,10,10,10,20,10,30,20,50,20,10,30,40,50,20,20,30,10,30,40,20,140,10,20
uniview software,AED,40,0%,0%,Low,1,,,,,,,,40,30,40,30,50,40,40,30,40,30,30,40,40,40,50,50,40,20,30,30,30,40,40,40
cctv camera suppliers in dubai,AED,20,100%,0%,Low,8,,,,,,,,10,20,10,10,20,40,50,10,70,50,20,20,50,20,20,40,20,10,10,30,10,10,10,20
cctv camera companies in uae,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,0,10,10,0
security cameras dubai,AED,90,0%,-22%,Low,9,24.88,249.49,,,,,,110,90,90,110,90,90,90,70,210,90,70,90,170,110,40,70,70,70,140,70,70,70,30,70
unv camera distributor,AED,30,-33%,-33%,Low,20,3.19,21.06,,,,Y,,20,30,20,20,20,40,20,30,20,10,30,30,50,20,30,40,30,10,20,30,20,30,30,20
uniview 8mp camera,AED,10,0%,∞,High,100,,,,,,,,10,0,10,0,0,0,10,0,10,0,0,0,10,10,0,10,10,10,0,10,10,10,0,10
security camera price in uae,AED,10,∞,0%,Low,7,,,,,,,,10,10,10,10,10,10,10,10,0,0,10,10,10,0,10,0,10,0,10,10,10,0,10,10
cctv uae,AED,10,0%,0%,Low,26,36.85,65.71,,,,,,10,20,10,10,10,20,10,10,10,10,20,10,10,10,20,10,20,10,10,20,10,10,10,10
unv cctv camera price,AED,170,-34%,255%,High,96,0.7,37.07,,,,,,110,110,110,110,90,70,140,140,170,140,170,110,90,90,90,90,50,70,320,110,170,590,390,390
unv security,AED,30,-33%,100%,Low,1,,,,,,,,30,30,30,30,20,20,20,30,20,30,30,10,20,50,20,40,30,30,30,40,20,30,20,20
unv ip camera price,AED,210,-18%,-18%,High,88,0.68,0.78,,,,,,320,260,320,320,320,210,260,210,210,210,140,170,260,210,260,170,140,140,140,140,140,170,110,140
cctv camera price in abu dhabi,AED,10,0%,0%,Low,6,,,,,,,,10,0,10,0,10,10,10,10,10,0,10,10,0,10,10,10,10,10,0,0,10,10,10,10
unv camera software,AED,110,0%,-18%,Low,2,,,,,,,,90,90,110,110,90,140,110,110,110,110,90,110,110,110,140,170,170,140,140,140,110,90,70,90
home security camera dubai,AED,10,∞,0%,High,100,,,,,,,,10,10,10,0,10,10,10,10,0,0,0,10,0,0,10,0,10,0,0,10,0,0,10,10
uniview cctv kit,AED,10,0%,0%,High,100,,,,,,,,10,10,0,0,0,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10
nvr unv,AED,10,100%,100%,Low,12,,,,,,,,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20
cctv camera for home price in uae,AED,10,0%,0%,Low,29,,,,,,,,10,10,10,0,10,10,0,0,0,10,10,10,10,10,10,10,0,0,0,10,10,10,0,10
ip camera price uae,AED,10,0%,0%,High,100,,,,,,,,0,0,0,0,0,10,10,10,0,10,10,10,0,0,0,0,10,0,0,0,0,10,10,10
cctv price in uae,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,10,0,0,10,10,10,0,0,0,10,0,0,0,0,0
cctv camera uae,AED,10,0%,0%,Medium,42,20.67,63.13,,,,,,20,10,10,10,30,10,10,10,10,10,10,10,10,20,10,20,10,10,20,20,10,10,10,10
uniview ip camera price,AED,20,0%,0%,High,77,,,,,,,,50,30,50,40,30,20,20,20,20,20,10,10,10,20,20,30,10,10,10,10,10,10,10,10
uni cameras,AED,2900,-56%,132%,High,85,0.76,16.02,< 1%,,,,,1900,1900,2400,2400,1900,2400,2400,2400,1900,1900,1900,1900,1900,1900,2400,1900,1900,1600,5400,2400,2400,9900,3600,4400
nvr uniview,AED,10,0%,∞,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,0,10,10,10,10
cctv company in abu dhabi,AED,30,0%,-33%,Low,4,,,,,,,,90,20,20,10,30,40,40,20,20,20,20,30,70,30,20,20,30,70,70,20,20,20,40,20
unv dome camera,AED,50,-71%,-43%,Medium,65,,,,,,,,50,50,70,50,40,40,70,50,40,50,40,70,70,50,40,70,40,40,50,20,50,140,30,40
uniview support,AED,20,0%,-50%,Low,0,,,,,,,,20,20,20,10,20,20,30,40,40,20,20,20,30,20,20,20,30,20,10,10,10,10,10,10
nvr301,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
unv support,AED,20,0%,0%,Low,0,,,,,,,,20,10,10,20,10,30,30,20,20,20,20,20,20,20,20,20,20,20,10,10,20,20,10,20
uniview cctv camera,AED,20,-50%,-50%,Medium,66,,,,,,,,40,30,30,10,20,30,30,40,20,20,10,20,10,10,10,20,10,20,40,20,20,20,20,10
uniview camera kit,AED,10,∞,∞,High,100,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,10,10,0,0,0,0,10
home camera dubai,AED,10,0%,0%,Unknown,,,,,,,,,0,10,10,0,10,0,10,0,0,0,0,0,0,0,0,10,10,0,10,0,10,0,10,0
cctv unv,AED,20,-71%,0%,Medium,35,0.7,13.6,,,,Y,,10,10,30,10,20,20,10,30,30,20,20,20,20,10,20,20,10,20,30,10,30,70,20,20
security camera abu dhabi,AED,10,-50%,0%,Low,1,,,,,,,,10,10,0,0,10,10,10,10,10,20,10,10,20,20,30,10,10,10,10,10,10,20,10,10
unv distributor,AED,40,0%,-57%,Low,0,,,,,,Y,,20,20,40,30,20,30,30,20,20,30,40,70,40,30,30,40,40,50,50,40,20,30,40,30
security camera price in dubai,AED,30,50%,50%,Medium,52,27.86,123.27,10%,,,,,20,40,20,20,40,50,40,30,40,30,20,20,50,30,30,30,30,20,20,30,20,20,30,30
camera unv ip,AED,10,0%,∞,Low,0,,,,,,,,0,0,0,10,10,0,0,0,0,0,0,0,10,10,10,10,10,0,10,10,0,10,0,10
